Ticker,Name,OtherName,Sector,Industry
OLMA,"Olema Pharmaceuticals, Inc.",Olema Pharmaceuticals,Healthcare,Biotechnology
PLPC,Preformed Line Products Company,Preformed Line Products,Industrials,Electrical Equipment & Parts
HFWA,Heritage Financial Corporation,Heritage Financial,Financial Services,Banks - Regional
REPX,"Riley Exploration Permian, Inc.",Riley Permian,Energy,Oil & Gas E&P
GAMI,"GAMCO Investors, Inc.",GAMCO Investors,Financial Services,Asset Management
BLND,"Blend Labs, Inc.",Blend Labs,Technology,Software - Application
ERAS,"Erasca, Inc.",Erasca,Healthcare,Biotechnology
GMRE,Global Medical REIT Inc.,Global Medical REIT,Real Estate,REIT - Healthcare Facilities
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma,Healthcare,Biotechnology
FLGT,"Fulgent Genetics, Inc.",Fulgent Genetics,Healthcare,Diagnostics & Research
OTCM,OTC Markets Group Inc.,OTC Markets Group,Financial Services,Financial Data & Stock Exchanges
VREX,Varex Imaging Corporation,Varex Imaging,Healthcare,Medical Devices
HCKT,"The Hackett Group, Inc.",The Hackett Group,Technology,Information Technology Services
PTLO,Portillo's Inc.,Portillo's,Consumer Cyclical,Restaurants
PRA,ProAssurance Corporation,ProAssurance,Financial Services,Insurance - Property & Casualty
TPB,"Turning Point Brands, Inc.",Turning Point Brands,Consumer Defensive,Tobacco
GOOD,Gladstone Commercial Corporation,Gladstone Commercial,Real Estate,REIT - Diversified
IIIN,"Insteel Industries, Inc.",Insteel Industries,Industrials,Metal Fabrication
TIPT,Tiptree Inc.,Tiptree,Financial Services,Insurance - Specialty
SMP,"Standard Motor Products, Inc.",Standard Motor Products (SMP),Consumer Cyclical,Auto Parts
ARCT,Arcturus Therapeutics Holdings Inc.,Arcturus Therapeutics,Healthcare,Biotechnology
MD,"Pediatrix Medical Group, Inc.",Pediatrix Medical Group,Healthcare,Medical Care Facilities
ALTI,"AlTi Global, Inc.",AlTi Global,Financial Services,Asset Management
ASIX,AdvanSix Inc.,AdvanSix,Basic Materials,Chemicals
GRPN,"Groupon, Inc.",Groupon,Communication Services,Internet Content & Information
BH,Biglari Holdings Inc.,Biglari,Consumer Cyclical,Restaurants
RBBN,Ribbon Communications Inc.,Ribbon Communications,Communication Services,Telecom Services
FLYX,"flyExclusive, Inc.",flyExclusive,Industrials,Airlines
CMPO,"CompoSecure, Inc.",CompoSecure,Industrials,Metal Fabrication
CPF,Central Pacific Financial Corp.,Central Pacific Financial,Financial Services,Banks - Regional
GLDD,Great Lakes Dredge & Dock Corporation,Great Lakes Dredge &amp; Dock Corp.,Industrials,Engineering & Construction
LXU,"LSB Industries, Inc.",LSB Industries,Basic Materials,Chemicals
AMBC,"Ambac Financial Group, Inc.",Ambac,Financial Services,Insurance - Specialty
XMTR,"Xometry, Inc.",Xometry,Industrials,Specialty Industrial Machinery
IRMD,IRADIMED CORPORATION,iRadimed,Healthcare,Medical Devices
EZPW,"EZCORP, Inc.",EZCorp,Financial Services,Credit Services
BYON,"Beyond, Inc.","Beyond, Inc.",Consumer Cyclical,Internet Retail
FNA,"Paragon 28, Inc.",Paragon 28,Healthcare,Medical Devices
FPI,Farmland Partners Inc.,Farmland Partners,Real Estate,REIT - Specialty
SIGA,"SIGA Technologies, Inc.",SIGA Technologies,Healthcare,Drug Manufacturers - Specialty & Generic
NRC,National Research Corporation,NRC Health,Healthcare,Health Information Services
DJCO,Daily Journal Corporation,Daily Journal,Technology,Software - Application
PEPG,PepGen Inc.,PepGen,Healthcare,Biotechnology
NUS,"Nu Skin Enterprises, Inc.",Nu Skin,Consumer Defensive,Household & Personal Products
TREE,"LendingTree, Inc.",LendingTree,Financial Services,Financial Conglomerates
KRT,Karat Packaging Inc.,Karat Packaging,Consumer Cyclical,Packaging & Containers
LEGH,Legacy Housing Corporation,Legacy Housing Corporation,Consumer Cyclical,Residential Construction
EGBN,"Eagle Bancorp, Inc.",Eagle Bancorp,Financial Services,Banks - Regional
CRLBF,Cresco Labs Inc.,Cresco Labs,Healthcare,Drug Manufacturers - Specialty & Generic
TELL,Tellurian Inc.,Tellurian,Energy,Oil & Gas E&P
MOV,"Movado Group, Inc.",Movado,Consumer Cyclical,Luxury Goods
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Corbus Pharmaceuticals,Healthcare,Biotechnology
NYMT,"New York Mortgage Trust, Inc.",New York Mortgage Trust,Real Estate,REIT - Mortgage
NNDM,Nano Dimension Ltd.,Nano Dimension,Technology,Computer Hardware
RGNX,REGENXBIO Inc.,REGENXBIO,Healthcare,Biotechnology
CASS,"Cass Information Systems, Inc.",Cass Information Systems,Industrials,Specialty Business Services
SIBN,"SI-BONE, Inc.",SI-BONE,Healthcare,Medical Devices
PL,Planet Labs PBC,Planet Labs,Industrials,Aerospace & Defense
IBCP,Independent Bank Corporation,Independent Bank (Michigan),Financial Services,Banks - Regional
CATC,Cambridge Bancorp,Cambridge Bancorp,Financial Services,Banks - Regional
UHT,Universal Health Realty Income Trust,Universal Health Realty Income Trust,Real Estate,REIT - Healthcare Facilities
TRST,TrustCo Bank Corp NY,TrustCo Bank,Financial Services,Banks - Regional
YORW,The York Water Company,York Water,Utilities,Utilities - Regulated Water
PRTC,PureTech Health plc,PureTech Health,Healthcare,Biotechnology
FRPH,"FRP Holdings, Inc.",FRP Holdings,Real Estate,Real Estate Services
CLNE,Clean Energy Fuels Corp.,Clean Energy Fuels,Energy,Oil & Gas Refining & Marketing
CLFD,"Clearfield, Inc.",Clearfield,Technology,Communication Equipment
HBNC,"Horizon Bancorp, Inc.",Horizon Bancorp,Financial Services,Banks - Regional
LASR,"nLIGHT, Inc.",nLIGHT,Technology,Semiconductors
ORC,"Orchid Island Capital, Inc.",Orchid Island Capital,Real Estate,REIT - Mortgage
GTN,"Gray Television, Inc.",Gray Television,Communication Services,Broadcasting
ADPT,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies,Healthcare,Biotechnology
KE,"Kimball Electronics, Inc.",Kimball Electronics,Industrials,Electrical Equipment & Parts
ORRF,"Orrstown Financial Services, Inc.",Orrstown Financial Services,Financial Services,Banks - Regional
CNSL,"Consolidated Communications Holdings, Inc.",Consolidated Communications,Communication Services,Telecom Services
OFLX,"Omega Flex, Inc.",Omega Flex,Industrials,Specialty Industrial Machinery
ORIC,"ORIC Pharmaceuticals, Inc.",ORIC Pharmaceuticals,Healthcare,Biotechnology
UFCS,"United Fire Group, Inc.",United Fire Group,Financial Services,Insurance - Property & Casualty
EQBK,"Equity Bancshares, Inc.",Equity BancShares,Financial Services,Banks - Regional
GCBC,"Greene County Bancorp, Inc.",Greene County Bancorp,Financial Services,Banks - Regional
GLAD,Gladstone Capital Corporation,Gladstone Capital,Financial Services,Asset Management
GAIN,Gladstone Investment Corporation,Gladstone Investment,Financial Services,Asset Management
APLT,"Applied Therapeutics, Inc.",Applied Therapeutics,Healthcare,Biotechnology
CTNM,"Contineum Therapeutics, Inc.",Contineum Therapeutics,Healthcare,Biotechnology
ACTG,Acacia Research Corporation,Acacia Research,Industrials,Business Equipment & Supplies
MITK,"Mitek Systems, Inc.",Mitek Systems,Technology,Software - Application
UVE,"Universal Insurance Holdings, Inc.",Universal Insurance Holdings,Financial Services,Insurance - Property & Casualty
LXEO,"Lexeo Therapeutics, Inc.",Lexeo Therapeutics,Healthcare,Biotechnology
DIN,"Dine Brands Global, Inc.",Dine Brands Global,Consumer Cyclical,Restaurants
SFIX,"Stitch Fix, Inc.",Stitch Fix,Consumer Cyclical,Apparel Retail
OPY,Oppenheimer Holdings Inc.,Oppenheimer Holdings,Financial Services,Capital Markets
SEZL,Sezzle Inc.,Sezzle,Financial Services,Credit Services
PACK,Ranpak Holdings Corp.,Ranpak,Consumer Cyclical,Packaging & Containers
MNMD,Mind Medicine (MindMed) Inc.,Mind Medicine,Healthcare,Biotechnology
OFIX,Orthofix Medical Inc.,Orthofix Medical,Healthcare,Medical Devices
TWI,"Titan International, Inc.",Titan International,Industrials,Farm & Heavy Construction Machinery
ITOS,"iTeos Therapeutics, Inc.",iTeos Therapeutics,Healthcare,Biotechnology
PNNT,PennantPark Investment Corporation,PennantPark Investment,Financial Services,Asset Management
FC,Franklin Covey Co.,Franklin Covey,Consumer Defensive,Education & Training Services
HTBK,Heritage Commerce Corp,Heritage Commerce,Financial Services,Banks - Regional
TAST,"Carrols Restaurant Group, Inc.",Carrols Restaurant Group,Consumer Cyclical,Restaurants
HTBI,"HomeTrust Bancshares, Inc.",HomeTrust Bancshares,Financial Services,Banks - Regional
MCBC,Macatawa Bank Corporation,Macatawa Bank,Financial Services,Banks - Regional
ZIMV,ZimVie Inc.,ZimVie,Healthcare,Medical Devices
SLQT,"SelectQuote, Inc.",SelectQuote,Financial Services,Insurance Brokers
GDOT,Green Dot Corporation,Green Dot,Financial Services,Credit Services
YMAB,"Y-mAbs Therapeutics, Inc.",Y-mAbs Therapeutics,Healthcare,Biotechnology
PLOW,"Douglas Dynamics, Inc.",Douglas Dynamics,Consumer Cyclical,Auto Parts
NPK,"National Presto Industries, Inc.",National Presto Industries,Industrials,Aerospace & Defense
SHCR,"Sharecare, Inc.",Sharecare,Healthcare,Health Information Services
REPL,"Replimune Group, Inc.",Replimune,Healthcare,Biotechnology
KALV,"KalVista Pharmaceuticals, Inc.",KalVista Pharmaceuticals,Healthcare,Biotechnology
FNKO,"Funko, Inc.",Funko,Consumer Cyclical,Leisure
FWRD,Forward Air Corporation,Forward Air,Industrials,Integrated Freight & Logistics
LDI,"loanDepot, Inc.",loanDepot,Financial Services,Mortgage Finance
MLAB,"Mesa Laboratories, Inc.",Mesa Laboratories,Technology,Scientific & Technical Instruments
BRY,Berry Corporation,Berry Corporation,Energy,Oil & Gas E&P
LIND,"Lindblad Expeditions Holdings, Inc.",Lindblad Expeditions,Consumer Cyclical,Travel Services
PWFL,"PowerFleet, Inc.",PowerFleet,Technology,Software - Infrastructure
SAVA,"Cassava Sciences, Inc.",Cassava Sciences,Healthcare,Biotechnology
SMBC,"Southern Missouri Bancorp, Inc.",Southern Missouri Bancorp,Financial Services,Banks - Regional
GLASF,Glass House Brands Inc.,Glass House Brands,Healthcare,Drug Manufacturers - Specialty & Generic
FSBC,Five Star Bancorp,Five Star Bancorp,Financial Services,Banks - Regional
SVCO,"Silvaco Group, Inc.",Silvaco Group,Technology,Software - Application
LAND,Gladstone Land Corporation,Gladstone Land,Real Estate,REIT - Specialty
AVAH,Aveanna Healthcare Holdings Inc.,Aveanna Healthcare,Healthcare,Medical Care Facilities
LRMR,"Larimar Therapeutics, Inc.",Larimar Therapeutics,Healthcare,Biotechnology
ACIC,American Coastal Insurance Corporation,American Coastal Insurance Corporation,Financial Services,Insurance - Property & Casualty
RSVR,"Reservoir Media, Inc.",Reservoir Media,Communication Services,Entertainment
OLP,"One Liberty Properties, Inc.",One Liberty Properties,Real Estate,REIT - Diversified
THRD,"Third Harmonic Bio, Inc.",Third Harmonic Bio,Healthcare,Biotechnology
HAFC,Hanmi Financial Corporation,Hanmi Financial,Financial Services,Banks - Regional
HONE,"HarborOne Bancorp, Inc.",HarborOne Bancorp,Financial Services,Banks - Regional
TRDA,"Entrada Therapeutics, Inc.",Entrada Therapeutics,Healthcare,Biotechnology
SD,"SandRidge Energy, Inc.",SandRidge Energy,Energy,Oil & Gas E&P
SMRT,"SmartRent, Inc.",SmartRent,Technology,Software - Application
ANNX,"Annexon, Inc.",Annexon,Healthcare,Biotechnology
MSBI,"Midland States Bancorp, Inc.",Midland States Bancorp,Financial Services,Banks - Regional
OSPN,OneSpan Inc.,OneSpan,Technology,Software - Infrastructure
CDMO,"Avid Bioservices, Inc.",Avid Bioservices,Healthcare,Biotechnology
BALY,Bally's Corporation,Bally's Corporation,Consumer Cyclical,Resorts & Casinos
CTLP,"Cantaloupe, Inc.",Cantaloupe,Technology,Information Technology Services
ALT,"Altimmune, Inc.",Altimmune,Healthcare,Biotechnology
